name,set_name,rarity,primary_type,cmc,usd_price,edhrec_rank,legal_formats_count,value_score,reserved,game_changer,reprint
"Anim Pakal, Thousandth Moon",The Lost Caverns of Ixalan,rare,Creature,3.0,5.72,1024.0,15,70.0,0,0,0
Minas Tirith,The Lord of the Rings: Tales of Middle-earth,rare,Land,0.0,5.48,409.0,11,69.5,0,0,0
Adarkar Wastes,Tenth Edition,rare,Land,0.0,5.7,161.0,13,69.5,0,0,1
"Sea Gate Restoration // Sea Gate, Reborn",Zendikar Rising,mythic,Sorcery,7.0,32.26,681.0,11,69.5,0,0,0
Hinterland Harbor,Teenage Mutant Ninja Turtles Eternal,rare,Land,0.0,0.34,104.0,13,69.5,0,0,1
Brushland,The Brothers' War,rare,Land,0.0,0.98,250.0,13,69.5,0,0,1
"Agadeem's Awakening // Agadeem, the Undercrypt",Zendikar Rising,mythic,Sorcery,3.0,27.38,967.0,11,69.5,0,0,0
Karplusan Forest,Edge of Eternities Commander,rare,Land,0.0,0.38,226.0,13,69.5,0,0,1
Woodland Cemetery,Secrets of Strixhaven Commander,rare,Land,0.0,0.8,120.0,13,69.5,0,0,1
"Otawara, Soaring City",Kamigawa: Neon Dynasty Promos,rare,Land,0.0,26.42,91.0,11,69.5,0,0,1
"Lotho, Corrupt Shirriff",The Lord of the Rings: Tales of Middle-earth,rare,Creature,2.0,13.41,407.0,11,69.5,0,0,0
Portal to Phyrexia,The Brothers' War Promos,mythic,Artifact,9.0,28.54,1079.0,11,69.5,0,0,1
Archaeomancer,Special Guests,mythic,Creature,4.0,8.49,939.0,13,69.5,0,0,1
Underground River,Duskmourn: House of Horror Commander,rare,Land,0.0,1.39,152.0,13,69.5,0,0,1
"Shatterskull Smashing // Shatterskull, the Hammer Pass",Zendikar Rising,mythic,Sorcery,2.0,7.93,1318.0,11,69.5,0,0,0
Annie Joins Up,Outlaws of Thunder Junction,rare,Enchantment,4.0,5.42,1018.0,15,69.0,0,0,0
Funeral Room // Awakening Hall,Duskmourn: House of Horror,mythic,Enchantment,11.0,5.51,2163.0,16,69.0,0,0,0
Dollmaker's Shop // Porcelain Gallery,Duskmourn: House of Horror,mythic,Enchantment,8.0,4.5,2614.0,16,69.0,0,0,0
Shineshadow Snarl,The Lost Caverns of Ixalan Commander,rare,Land,0.0,0.34,436.0,12,69.0,0,0,1
"Avatar Aang // Aang, Master of Elements",Avatar: The Last Airbender,mythic,Creature,4.0,3.75,7946.0,16,69.0,0,0,0
Ancient Cornucopia,The Big Score,mythic,Artifact,3.0,6.85,8746.0,15,69.0,0,0,0
Simulacrum Synthesizer,The Big Score Promos,mythic,Artifact,3.0,27.84,1892.0,14,69.0,0,0,1
"Anti-Venom, Horrifying Healer",Marvel's Spider-Man,mythic,Creature,5.0,5.73,6187.0,15,69.0,0,0,0
Solemn Simulacrum,Secrets of Strixhaven Commander,rare,Creature,4.0,0.99,36.0,17,69.0,0,0,1
Aetherflux Reservoir,Kaladesh,rare,Artifact,4.0,22.2,369.0,12,69.0,0,0,0
Beluna Grandsquall // Seek Thrills,Wilds of Eldraine,mythic,Creature,3.0,0.29,13570.0,15,69.0,0,0,0
"Geralf, the Fleshwright",Outlaws of Thunder Junction,mythic,Creature,3.0,0.97,6103.0,14,69.0,0,0,0
Shifting Woodland,Modern Horizons 3,rare,Land,0.0,5.28,383.0,10,69.0,0,0,0
"Ulamog, the Defiler",Modern Horizons 3,mythic,Creature,10.0,16.2,1546.0,10,69.0,0,0,0
Fountainport,Bloomburrow,rare,Land,0.0,3.02,1045.0,15,69.0,0,0,0
Exalted Sunborn,Edge of Eternities Promos,mythic,Creature,5.0,16.44,1875.0,15,69.0,0,0,1
Hedge Shredder,Duskmourn: House of Horror,rare,Artifact,4.0,2.56,1362.0,16,69.0,0,0,0
Charred Foyer // Warped Space,Duskmourn: House of Horror,mythic,Enchantment,10.0,2.5,2956.0,16,69.0,0,0,0
Arcane Signet,Secret Lair Drop,rare,Artifact,2.0,7.07,3.0,15,69.0,0,0,1
Port Town,New Capenna Commander,rare,Land,0.0,0.3,341.0,12,69.0,0,0,1
Invasion of New Phyrexia // Teferi Akosa of Zhalfir,March of the Machine,mythic,Planeswalker,2.0,1.36,9493.0,12,69.0,0,0,0
Frostboil Snarl,Outlaws of Thunder Junction Commander,rare,Land,0.0,0.29,352.0,12,69.0,0,0,1
"Valakut, the Molten Pinnacle",Avatar: The Last Airbender Eternal,mythic,Land,0.0,10.61,1394.0,10,69.0,0,0,1
Rise of the Dark Realms,Jumpstart,mythic,Sorcery,9.0,4.91,546.0,16,69.0,0,0,1
Ancient Adamantoise,Final Fantasy,mythic,Creature,8.0,3.37,5617.0,15,69.0,0,0,0
Arena of Glory,Modern Horizons 3,rare,Land,0.0,10.62,406.0,10,69.0,0,0,0
"Arlinn, the Pack's Hope // Arlinn, the Moon's Fury",Innistrad: Midnight Hunt,mythic,Planeswalker,4.0,3.69,8445.0,12,69.0,0,0,0
Sword of Wealth and Power,The Big Score Promos,mythic,Artifact,3.0,18.1,2057.0,15,69.0,0,0,1
Starting Town,Final Fantasy,rare,Land,0.0,10.13,1004.0,15,69.0,0,0,0
Furycalm Snarl,Secrets of Strixhaven Commander,rare,Land,0.0,0.3,362.0,12,69.0,0,0,1
Game Trail,Murders at Karlov Manor Commander,rare,Land,0.0,0.31,361.0,12,69.0,0,0,1
Choked Estuary,Murders at Karlov Manor Commander,rare,Land,0.0,0.36,283.0,12,69.0,0,0,1
Angel of Suffering,Streets of New Capenna,mythic,Creature,5.0,3.58,4484.0,12,69.0,0,0,0
Foreboding Ruins,Duskmourn: House of Horror Commander,rare,Land,0.0,0.36,319.0,12,69.0,0,0,1
Fortified Village,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.28,337.0,12,69.0,0,0,1
Archangel of Thune,Double Masters,mythic,Creature,5.0,61.46,1481.0,12,69.0,0,0,1
"Karn, Scion of Urza",Dominaria,mythic,Planeswalker,4.0,4.02,5160.0,11,68.5,0,0,0
Windswept Heath,Modern Horizons 3,rare,Land,0.0,11.5,46.0,11,68.5,0,0,1
"Jace, the Perfected Mind",Phyrexia: All Will Be One,mythic,Planeswalker,4.0,1.27,5357.0,11,68.5,0,0,0
"Chandra, Dressed to Kill",Innistrad: Crimson Vow,mythic,Planeswalker,3.0,1.28,6316.0,11,68.5,0,0,0
Flooded Strand,Modern Horizons 3,rare,Land,0.0,15.24,41.0,11,68.5,0,0,1
"Arwen, Mortal Queen",The Lord of the Rings: Tales of Middle-earth,mythic,Creature,3.0,7.25,5076.0,11,68.5,0,0,0
Liliana Vess,Magic 2010,mythic,Planeswalker,5.0,5.97,4585.0,13,68.5,0,0,1
"Vivien, Monsters' Advocate",Ikoria: Lair of Behemoths,mythic,Planeswalker,5.0,2.3,5981.0,11,68.5,0,0,0
"Keranos, God of Storms",Journey into Nyx,mythic,Creature,5.0,17.22,6893.0,11,68.5,0,0,0
"Elesh Norn, Mother of Machines",Phyrexia: All Will Be One,mythic,Creature,5.0,26.94,946.0,11,68.5,0,0,1
Grove of the Burnwillows,Edge of Eternities: Stellar Sights,mythic,Land,0.0,5.05,3360.0,11,68.5,0,0,1
Gideon Blackblade,War of the Spark,mythic,Planeswalker,3.0,1.15,8340.0,11,68.5,0,0,0
Thassa's Oracle,Theros Beyond Death Promos,rare,Creature,2.0,22.78,401.0,9,68.5,0,1,1
Mox Opal,Modern Masters 2015,mythic,Artifact,0.0,189.97,238.0,9,68.5,0,0,1
Polluted Delta,Modern Horizons 3,rare,Land,0.0,18.03,38.0,11,68.5,0,0,1
Wooded Foothills,Khans of Tarkir,rare,Land,0.0,17.21,48.0,11,68.5,0,0,1
Bloodstained Mire,Modern Horizons 3,rare,Land,0.0,16.81,43.0,11,68.5,0,0,1
Assassin's Trophy,Secrets of Strixhaven Commander,rare,Instant,2.0,0.85,125.0,15,68.0,0,0,1
Asinine Antics,Wilds of Eldraine,mythic,Sorcery,4.0,0.82,7260.0,15,68.0,0,0,0
Bitterblossom,Wilds of Eldraine: Enchanting Tales,mythic,Enchantment,2.0,27.98,621.0,12,68.0,0,0,1
Banner of Kinship,Foundations,rare,Artifact,5.0,5.33,713.0,16,68.0,0,0,0
Prismatic Vista,Modern Horizons,rare,Land,0.0,36.0,194.0,10,68.0,0,0,0
Vaultborn Tyrant,The Big Score Promos,mythic,Creature,7.0,26.38,1794.0,15,68.0,0,0,1
"Ral, Monsoon Mage // Ral, Leyline Prodigy",Modern Horizons 3,mythic,Creature,2.0,5.12,3867.0,10,68.0,0,0,0
Scapeshift,Core Set 2019,mythic,Sorcery,4.0,51.01,1227.0,12,68.0,0,0,1
Avenger of Zendikar,Lorwyn Eclipsed Commander,mythic,Creature,7.0,0.41,264.0,8,68.0,0,0,1
Glissa Sunslayer,Phyrexia: All Will Be One,rare,Creature,3.0,1.62,1438.0,12,68.0,0,0,0
"Krang, Utrom Warlord",Teenage Mutant Ninja Turtles,mythic,Creature,9.0,19.02,8364.0,15,68.0,0,0,0
Quantum Riddler,Edge of Eternities,mythic,Creature,5.0,35.59,10523.0,15,68.0,0,0,0
"Sorin of House Markov // Sorin, Ravenous Neonate",Modern Horizons 3,mythic,Creature,2.0,2.75,3785.0,10,68.0,0,0,0
Archdruid's Charm,Murders at Karlov Manor,rare,Instant,3.0,7.07,614.0,15,68.0,0,0,0
Great Train Heist,Outlaws of Thunder Junction,rare,Instant,1.0,3.06,1089.0,15,68.0,0,0,0
Elesh Norn // The Argent Etchings,March of the Machine,mythic,Creature,4.0,7.27,3919.0,12,68.0,0,0,0
"Liliana, Heretical Healer // Liliana, Defiant Necromancer",Magic Origins,mythic,Creature,3.0,7.07,4233.0,12,68.0,0,0,0
Overgrown Farmland,Tarkir: Dragonstorm Commander,rare,Land,0.0,2.27,292.0,12,68.0,0,0,1
Urabrask // The Great Work,March of the Machine,mythic,Creature,4.0,15.17,1706.0,12,68.0,0,0,0
"Halvar, God of Battle // Sword of the Realms",Kaldheim,mythic,Creature,4.0,28.05,2319.0,12,68.0,0,0,0
Canopy Vista,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.34,103.0,12,68.0,0,0,1
Nyxbloom Ancient,Theros Beyond Death Promos,mythic,Creature,7.0,27.59,978.0,12,68.0,0,0,1
Prairie Stream,Tarkir: Dragonstorm Commander,rare,Land,0.0,0.31,106.0,12,68.0,0,0,1
"Annie Flash, the Veteran",Outlaws of Thunder Junction,mythic,Creature,6.0,0.26,15969.0,15,68.0,0,0,0
Rockfall Vale,Tarkir: Dragonstorm Commander,rare,Land,0.0,2.13,210.0,12,68.0,0,0,1
"Jace, Unraveler of Secrets",Shadows over Innistrad,mythic,Planeswalker,5.0,1.35,6501.0,12,68.0,0,0,0
"Alela, Artful Provocateur",Secret Lair Drop,mythic,Creature,4.0,13.38,4889.0,12,68.0,0,0,1
Three Tree City,Bloomburrow Promos,rare,Land,0.0,24.0,187.0,16,68.0,0,0,1
Archangel of Tithes,Outlaws of Thunder Junction,mythic,Creature,4.0,4.05,2171.0,15,68.0,0,0,1
Old Gnawbone,The List,mythic,Creature,7.0,48.59,872.0,11,67.5,0,0,1
Archangel Elspeth,March of the Machine,mythic,Planeswalker,4.0,3.75,5154.0,11,67.5,0,0,0
Savai Triome,Ikoria: Lair of Behemoths Promos,rare,Land,0.0,20.71,477.0,11,67.5,0,0,1
The Meathook Massacre,Innistrad Remastered,mythic,Enchantment,2.0,24.25,505.0,11,67.5,0,0,1
Balefire Dragon,Innistrad Remastered,mythic,Creature,7.0,12.3,1228.0,11,67.5,0,0,1
Mana Confluence,Journey into Nyx,rare,Land,0.0,30.43,118.0,11,67.5,0,0,0
Ketria Triome,The List,rare,Land,0.0,16.34,349.0,11,67.5,0,0,1
Professor Onyx,Duskmourn: House of Horror Commander,mythic,Planeswalker,6.0,3.1,2416.0,11,67.5,0,0,1
"Jace, the Mind Sculptor",Masters 25,mythic,Planeswalker,4.0,17.68,3419.0,11,67.5,0,0,1
"Chandra, Awakened Inferno",Commander Masters,mythic,Planeswalker,6.0,10.27,3143.0,11,67.5,0,0,1
Indatha Triome,Ikoria: Lair of Behemoths Promos,rare,Land,0.0,18.24,452.0,11,67.5,0,0,1
Sorin the Mirthless,Innistrad: Crimson Vow,mythic,Planeswalker,4.0,2.09,7566.0,11,67.5,0,0,0
Anointed Procession,Amonkhet,rare,Enchantment,4.0,57.95,348.0,12,67.0,0,0,0
Caretaker's Talent,Bloomburrow,rare,Enchantment,3.0,6.51,697.0,15,67.0,0,0,0
Double Down,Outlaws of Thunder Junction,mythic,Enchantment,4.0,0.59,5401.0,14,67.0,0,0,0
Sorin Markov,The List,mythic,Planeswalker,6.0,6.65,3792.0,12,67.0,0,0,1
Arid Mesa,Modern Horizons 2,rare,Land,0.0,35.94,54.0,10,67.0,0,0,1
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",Core Set 2019,mythic,Creature,4.0,19.78,5075.0,12,67.0,0,0,0
"Ugin, the Ineffable",War of the Spark,rare,Planeswalker,6.0,1.35,988.0,12,67.0,0,0,0
Borborygmos and Fblthp,March of the Machine,mythic,Creature,5.0,0.37,17040.0,12,67.0,0,0,0
Enduring Vitality,Duskmourn: House of Horror,rare,Creature,3.0,7.17,536.0,16,67.0,0,0,0
Innkeeper's Talent,Bloomburrow,rare,Enchantment,2.0,8.84,725.0,15,67.0,0,0,0
Enduring Curiosity,Duskmourn: House of Horror,rare,Creature,4.0,7.47,912.0,15,67.0,0,0,0
Enduring Tenacity,Duskmourn: House of Horror,rare,Creature,4.0,8.06,951.0,16,67.0,0,0,0
Enduring Courage,Duskmourn: House of Horror,rare,Creature,4.0,2.35,1212.0,16,67.0,0,0,0
Scalding Tarn,Modern Masters 2017,rare,Land,0.0,34.9,49.0,10,67.0,0,0,1
Ouroboroid,Edge of Eternities Promos,mythic,Creature,4.0,38.19,2280.0,15,67.0,0,0,1
"Phlage, Titan of Fire's Fury",Modern Horizons 3,mythic,Creature,3.0,16.54,8308.0,10,67.0,0,0,0
Monument to Endurance,Aetherdrift,rare,Artifact,3.0,14.59,1238.0,15,67.0,0,0,0
"Kiora, Master of the Depths",Battle for Zendikar,mythic,Planeswalker,4.0,1.89,8631.0,8,67.0,0,0,0
"Ajani, Outland Chaperone",Lorwyn Eclipsed Promos,mythic,Planeswalker,3.0,7.85,13611.0,15,67.0,0,0,1
Basilisk Collar,Foundations,rare,Artifact,1.0,3.73,258.0,17,67.0,0,0,1
Batterskull,Double Masters,mythic,Artifact,5.0,5.02,4810.0,12,67.0,0,0,1
"Jace, Wielder of Mysteries",War of the Spark,rare,Planeswalker,4.0,4.75,1060.0,12,67.0,0,0,0
"Huatli, Radiant Champion",Secret Lair Drop,mythic,Planeswalker,4.0,3.26,8860.0,12,67.0,0,0,1
Contagion Engine,Breaking News,mythic,Artifact,6.0,14.45,1771.0,12,67.0,0,0,1
Phyrexian Arena,Foundations,rare,Enchantment,3.0,3.4,96.0,18,67.0,0,0,1
Grim Tutor,Secret Lair Drop,mythic,Sorcery,3.0,24.56,682.0,12,67.0,0,0,1
Chromatic Lantern,Teenage Mutant Ninja Turtles Eternal,rare,Artifact,3.0,1.19,80.0,12,67.0,0,0,1
Castle Garenbrig,Throne of Eldraine,rare,Land,0.0,6.07,708.0,12,67.0,0,0,0
Super Shredder,Teenage Mutant Ninja Turtles,mythic,Creature,2.0,29.49,7957.0,15,67.0,0,0,0
Ranger-Captain of Eos,The List,mythic,Creature,3.0,29.3,739.0,10,67.0,0,0,1
Agatha of the Vile Cauldron,Wilds of Eldraine Promos,mythic,Creature,2.0,6.33,5924.0,15,67.0,0,0,1
Enduring Innocence,Duskmourn: House of Horror,rare,Creature,3.0,5.84,873.0,15,67.0,0,0,0
Bloodchief Ascension,Avatar: The Last Airbender Eternal,mythic,Enchantment,1.0,12.76,724.0,10,67.0,0,0,1
Marsh Flats,Modern Masters 2017,rare,Land,0.0,27.18,51.0,10,67.0,0,0,1
"Yawgmoth, Thran Physician",Dominaria Remastered,mythic,Creature,4.0,27.88,802.0,10,67.0,0,0,1
Mox Jasper,Tarkir: Dragonstorm Promos,mythic,Artifact,0.0,11.56,2986.0,15,67.0,0,0,1
Darkbore Pathway // Slitherbore Pathway,Kaldheim,rare,Land,0.0,5.71,1107.0,11,66.5,0,0,0
"Ajani, Sleeper Agent",Dominaria United Promos,mythic,Planeswalker,4.0,6.54,6451.0,11,66.5,0,0,1
Barkchannel Pathway // Tidechannel Pathway,Kaldheim,rare,Land,0.0,4.79,1059.0,11,66.5,0,0,0
Blightstep Pathway // Searstep Pathway,Kaldheim,rare,Land,0.0,5.11,786.0,11,66.5,0,0,0
Faerie Mastermind,March of the Machine,rare,Creature,2.0,21.38,343.0,11,66.5,0,0,0
Liliana of the Veil,Dominaria United Promos,mythic,Planeswalker,3.0,4.43,2872.0,11,66.5,0,0,1
Shattered Sanctum,Secrets of Strixhaven,rare,Land,0.0,1.82,323.0,11,66.5,0,0,1
Dreamroot Cascade,Secrets of Strixhaven,rare,Land,0.0,2.09,185.0,11,66.5,0,0,1
Subtlety,Modern Horizons 2,mythic,Creature,4.0,12.44,4461.0,9,66.5,0,0,0
Sundown Pass,Secrets of Strixhaven,rare,Land,0.0,2.02,313.0,11,66.5,0,0,1
"Urza, Lord High Artificer",Dominaria Remastered,mythic,Creature,4.0,13.54,779.0,9,66.5,0,0,1
Sheoldred // The True Scriptures,March of the Machine,mythic,Creature,5.0,16.65,1798.0,11,66.5,0,0,0
Deathcap Glade,Secrets of Strixhaven,rare,Land,0.0,2.31,447.0,11,66.5,0,0,1
"Elesh Norn, Grand Cenobite",Secret Lair Drop,mythic,Creature,7.0,14.85,762.0,11,66.5,0,0,1
Stormcarved Coast,Secrets of Strixhaven,rare,Land,0.0,2.06,220.0,11,66.5,0,0,1
Kaito Shizuki,Kamigawa: Neon Dynasty Promos,mythic,Planeswalker,3.0,1.12,5613.0,11,66.5,0,0,1
"Avacyn, Angel of Hope",Innistrad Remastered,mythic,Creature,8.0,30.36,754.0,11,66.5,0,0,1
Sword of Truth and Justice,Secret Lair Drop,mythic,Artifact,3.0,29.71,1619.0,11,66.5,0,0,1
Azorius Signet,Secret Lair Drop,rare,Artifact,2.0,13.23,192.0,13,66.5,0,0,1
Warren Soultrader,Modern Horizons 3,rare,Creature,3.0,11.79,459.0,11,66.5,0,0,0
"Tyvar, Jubilant Brawler",Phyrexia: All Will Be One,rare,Planeswalker,3.0,1.57,2334.0,12,66.0,0,0,0
Ba Sing Se,Avatar: The Last Airbender,rare,Land,0.0,4.64,2316.0,15,66.0,0,0,0
Heroic Intervention,Tales of Middle-earth Commander,rare,Instant,2.0,12.43,32.0,12,66.0,0,0,1
"Camellia, the Seedmiser",Bloomburrow,rare,Creature,3.0,1.49,2633.0,16,66.0,0,0,0
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",Kaldheim,rare,Creature,3.0,26.19,489.0,12,66.0,0,0,0
"Gisela, the Broken Blade",Innistrad Remastered,mythic,Creature,4.0,20.05,2543.0,12,66.0,0,0,1
"Alania, Divergent Storm",Bloomburrow,rare,Creature,5.0,0.28,4229.0,16,66.0,0,0,0
Inspiring Vantage,Outlaws of Thunder Junction,rare,Land,0.0,1.08,1475.0,14,66.0,0,0,1
Cabal Stronghold,Dominaria,rare,Land,0.0,14.26,956.0,12,66.0,0,0,0
Bleachbone Verge,Aetherdrift Promos,rare,Land,0.0,9.4,1009.0,15,66.0,0,0,1
"Tergrid, God of Fright // Tergrid's Lantern",Kaldheim,rare,Creature,5.0,17.41,1512.0,12,66.0,0,1,0
Willowrush Verge,Aetherdrift Promos,rare,Land,0.0,10.07,1263.0,15,66.0,0,0,1
"Sorin, Vengeful Bloodlord",War of the Spark,rare,Planeswalker,4.0,1.68,4942.0,12,66.0,0,0,0
Karn's Bastion,Edge of Eternities Commander,rare,Land,0.0,1.91,198.0,12,66.0,0,0,1
Conduit of Worlds,Phyrexia: All Will Be One,rare,Artifact,4.0,4.45,522.0,12,66.0,0,0,0
"Alesha, Who Laughs at Fate",Foundations,rare,Creature,3.0,3.74,2001.0,16,66.0,0,0,0
Ugin's Labyrinth,Modern Horizons 3 Promos,mythic,Land,0.0,12.84,2892.0,10,66.0,0,0,1
Tyvar Kell,Kaldheim Promos,mythic,Planeswalker,4.0,4.36,4430.0,10,66.0,0,0,1
Wastewood Verge,Aetherdrift Promos,rare,Land,0.0,7.85,1241.0,15,66.0,0,0,1
The World Tree,Kaldheim Promos,rare,Land,0.0,7.57,760.0,12,66.0,0,0,1
Hexing Squelcher,Lorwyn Eclipsed,rare,Creature,2.0,17.45,1370.0,15,66.0,0,0,0
Riverpyre Verge,Aetherdrift Promos,rare,Land,0.0,17.57,1111.0,15,66.0,0,0,1
The Immortal Sun,Commander Masters,mythic,Artifact,6.0,11.85,2443.0,12,66.0,0,0,1
"Bonny Pall, Clearcutter",Outlaws of Thunder Junction,rare,Creature,6.0,1.11,3112.0,15,66.0,0,0,0
Concealed Courtyard,Outlaws of Thunder Junction,rare,Land,0.0,1.07,1153.0,15,66.0,0,0,1
"Yavimaya, Cradle of Growth",Modern Horizons 3 Commander,rare,Land,0.0,14.6,76.0,10,66.0,0,0,1
"Ral, Storm Conduit",War of the Spark,rare,Planeswalker,4.0,1.09,3218.0,12,66.0,0,0,0
"Nissa, Resurgent Animist",March of the Machine: The Aftermath Promos,mythic,Creature,3.0,22.01,2043.0,11,65.5,0,0,1
Capricious Hellraiser,Phyrexia: All Will Be One,mythic,Creature,6.0,0.33,14111.0,11,65.5,0,0,0
"Takenuma, Abandoned Mire",Kamigawa: Neon Dynasty Promos,rare,Land,0.0,11.22,239.0,11,65.5,0,0,1
Blackcleave Cliffs,Phyrexia: All Will Be One,rare,Land,0.0,1.81,1048.0,13,65.5,0,0,1
Baneslayer Angel,Core Set 2021,mythic,Creature,5.0,3.74,4712.0,13,65.5,0,0,1
"Valki, God of Lies // Tibalt, Cosmic Impostor",Kaldheim,mythic,Creature,2.0,3.28,5608.0,11,65.5,0,0,0
Urza's Incubator,Modern Horizons 3,rare,Artifact,3.0,17.12,303.0,13,65.5,0,0,1
"Tezzeret, Agent of Bolas",Mirrodin Besieged,mythic,Planeswalker,4.0,2.68,13558.0,7,65.5,0,0,0
Darkslick Shores,Phyrexia: All Will Be One,rare,Land,0.0,1.98,1331.0,13,65.5,0,0,1
Copperline Gorge,Phyrexia: All Will Be One,rare,Land,0.0,0.39,1460.0,13,65.5,0,0,1
"Karn, Living Legacy",Dominaria United,mythic,Planeswalker,4.0,1.12,5159.0,9,65.5,0,0,0
"Etali, Primal Conqueror // Etali, Primal Sickness",March of the Machine,rare,Creature,7.0,34.93,732.0,12,65.0,0,0,0
Bedevil,Duskmourn: House of Horror Commander,rare,Instant,3.0,0.48,461.0,12,65.0,0,0,1
Insatiable Avarice,Outlaws of Thunder Junction,rare,Sorcery,1.0,5.92,1070.0,15,65.0,0,0,0
Ruinous Ultimatum,Ikoria: Lair of Behemoths,rare,Sorcery,7.0,2.81,630.0,12,65.0,0,0,0
"Etali, Primal Storm",Foundations,rare,Creature,6.0,0.52,257.0,16,65.0,0,0,1
"Adeline, Resplendent Cathar",Innistrad: Midnight Hunt,rare,Creature,3.0,3.93,512.0,12,65.0,0,0,0
Djeru and Hazoret,March of the Machine,rare,Creature,5.0,0.41,4968.0,12,65.0,0,0,0
Spire of Industry,Edge of Eternities Commander,rare,Land,0.0,0.29,384.0,12,65.0,0,0,1
Multiversal Passage,Marvel's Spider-Man,rare,Land,0.0,8.28,3026.0,15,65.0,0,0,0
"Minamo, School at Water's Edge",Tales of Middle-earth Commander,mythic,Land,0.0,55.29,598.0,8,65.0,0,0,1
Arcane Bombardment,Outlaws of Thunder Junction Commander,mythic,Enchantment,6.0,6.31,2211.0,12,65.0,0,0,1
Blasphemous Edict,Foundations,rare,Sorcery,5.0,3.36,550.0,16,65.0,0,0,0
Aurora Awakener,Lorwyn Eclipsed Promos,mythic,Creature,7.0,3.48,11914.0,15,65.0,0,0,1
Delighted Halfling,The Lord of the Rings: Tales of Middle-earth,rare,Creature,1.0,25.39,157.0,10,65.0,0,0,0
Scavenger Grounds,Outlaws of Thunder Junction Commander,rare,Land,0.0,0.46,316.0,12,65.0,0,0,1
"Ghalta, Primal Hunger",Foundations,rare,Creature,12.0,0.7,476.0,16,65.0,0,0,1
"Finneas, Ace Archer",Bloomburrow,rare,Creature,2.0,0.31,4542.0,16,65.0,0,0,0
Abandoned Air Temple,Avatar: The Last Airbender,rare,Land,0.0,6.09,1933.0,16,65.0,0,0,0
Ajani Vengeant,Shards of Alara,mythic,Planeswalker,4.0,4.18,13762.0,8,65.0,0,0,0
Archon of Cruelty,Modern Horizons 2,mythic,Creature,8.0,8.5,1118.0,6,65.0,0,0,0
Geier Reach Sanitarium,The Lost Caverns of Ixalan Commander,rare,Land,0.0,1.55,424.0,12,65.0,0,0,1
Maskwood Nexus,Commander Legends: Battle for Baldur's Gate,rare,Artifact,4.0,2.23,481.0,12,65.0,0,0,1
Felidar Retreat,Foundations,rare,Enchantment,4.0,1.52,471.0,16,65.0,0,0,1
Vineglimmer Snarl,March of the Machine Commander,rare,Land,0.0,0.29,547.0,12,65.0,0,0,1
Necroblossom Snarl,Duskmourn: House of Horror Commander,rare,Land,0.0,0.41,557.0,12,65.0,0,0,1
"Eiganjo, Seat of the Empire",Kamigawa: Neon Dynasty Promos,rare,Land,0.0,5.92,370.0,11,64.5,0,0,1
"Emrakul, the Promised End",Innistrad Remastered,mythic,Creature,13.0,13.64,1814.0,11,64.5,0,0,1
Wrenn and Six,Modern Horizons,mythic,Planeswalker,2.0,9.56,6034.0,9,64.5,0,0,0
"Rowan, Scholar of Sparks // Will, Scholar of Frost",Strixhaven: School of Mages,mythic,Planeswalker,3.0,1.91,10732.0,9,64.5,0,0,0
Mox Tantalite,Modern Horizons,mythic,Artifact,0.0,11.87,4220.0,7,64.5,0,0,0
"Teferi, Time Raveler",War of the Spark,rare,Planeswalker,3.0,4.32,1098.0,8,64.0,0,0,0
Ghost Vacuum,Duskmourn: House of Horror,rare,Artifact,1.0,2.78,3909.0,15,64.0,0,0,0
"Ayara, First of Locthwain",Throne of Eldraine,rare,Creature,3.0,10.04,803.0,12,64.0,0,0,0
"Nissa, Vastwood Seer // Nissa, Sage Animist",Magic Origins,mythic,Creature,3.0,3.85,6175.0,12,64.0,0,0,0
Altar of the Brood,Khans of Tarkir,rare,Artifact,1.0,8.96,1409.0,12,64.0,0,0,0
"Kutzil, Malamet Exemplar",The Lost Caverns of Ixalan,uncommon,Creature,3.0,3.85,377.0,14,64.0,0,0,0
Fecund Greenshell,Bloomburrow,rare,Creature,5.0,1.68,2857.0,16,64.0,0,0,0
Admiral Beckett Brass,Secret Lair Drop,mythic,Creature,4.0,11.29,5505.0,12,64.0,0,0,1
"Linvala, Keeper of Silence",Modern Masters 2017,mythic,Creature,4.0,18.84,2470.0,12,64.0,0,0,1
Avabruck Caretaker // Hollowhenge Huntmaster,Innistrad: Crimson Vow,mythic,Creature,6.0,3.89,7120.0,12,64.0,0,0,0
Breach the Multiverse,March of the Machine,rare,Sorcery,7.0,7.94,820.0,12,64.0,0,0,0
"Kytheon, Hero of Akros // Gideon, Battle-Forged",Magic Origins,mythic,Creature,1.0,1.24,10910.0,12,64.0,0,0,0
Ancient Tomb,Ultimate Masters,rare,Land,0.0,127.91,64.0,8,64.0,0,1,1
City on Fire,March of the Machine,rare,Enchantment,8.0,11.35,799.0,12,64.0,0,0,0
Azure Beastbinder,Bloomburrow,rare,Creature,2.0,0.42,3973.0,16,64.0,0,0,0
"Gideon, Ally of Zendikar",The List,mythic,Planeswalker,4.0,1.18,8764.0,12,64.0,0,0,1
